sample no.,model_name,json_validity,string_similarity,key_similarity,value_exactness,numeric_similarity
0,Qwen2.5-72B,TRUE,0.711363636,1,0.90625,0.204545455
0,gpt-4o-mini,TRUE,0.727272727,1,0.96875,0.204545455
1,Qwen2.5-72B,TRUE,0.548409091,1,0.90625,0.183974971
1,gpt-4o-mini,TRUE,0.676363636,1,0.96875,0.204545455
2,Qwen2.5-72B,TRUE,0.571521739,1,0.875,0.176142698
2,gpt-4o-mini,TRUE,0.782608696,1,0.96875,0.173913043
3,Qwen2.5-72B,TRUE,0.731818182,1,0.90625,0.204545455
3,gpt-4o-mini,TRUE,0.795454545,1,1,0.204545455
4,Qwen2.5-72B,TRUE,0.758444444,1,0.9375,0.2
4,gpt-4o-mini,TRUE,0.777777778,1,0.96875,0.2
5,Qwen2.5-72B,TRUE,0.737777778,1,0.9375,0.2
5,gpt-4o-mini,TRUE,0.783555556,1,0.96875,0.2
6,Qwen2.5-72B,TRUE,0.745111111,1,0.9375,0.2
6,gpt-4o-mini,TRUE,0.747333333,1,0.96875,0.2
7,Qwen2.5-72B,TRUE,0.756888889,1,0.9375,0.2
7,gpt-4o-mini,TRUE,0.728444444,1,0.96875,0.2
8,Qwen2.5-72B,TRUE,0.771555556,1,0.9375,0.2
8,gpt-4o-mini,TRUE,0.744444444,1,0.96875,0.2
9,Qwen2.5-72B,TRUE,0.736888889,1,0.9375,0.2
9,gpt-4o-mini,TRUE,0.777777778,1,0.96875,0.2
