Initial URL,Processing Time (s),Relevant Link,Relevant Fields,Relevance Reasons,Update Time (s)
https://illinois-cs415.github.io/,1132.01,https://illinois-cs415.github.io/schedule,syllabusLink,"syllabusLink: The URL points to a GitHub page for CS 415, and the display text 'Lectures page' suggests that it contains course-related information, which likely includes the syllabus.",34.91
https://illinois-cs415.github.io/,1132.01,https://i-share-uiu.primo.exlibrisgroup.com/permalink/01CARLI_UIU/gpjosq/alma99955292160105899,textbooks,"textbooks: The display text suggests that the link is to a chapter in a book about computer graphics, which is a topic that could be covered in CS 415. The fact that it is a UIUC Library Link also increases the likelihood that it is a resource for a course at the university.",26.59
https://illinois-cs415.github.io/,1132.01,https://i-share-uiu.primo.exlibrisgroup.com/permalink/01CARLI_UIU/gpjosq/alma99955033014505899,textbooks,"textbooks: The display text indicates that the link is to a specific edition of a book, 'AI for Games' by Ian Millington, and it specifies sections, which suggests it could be a textbook or reading material for a course like CS 415.",26.69
https://illinois-cs415.github.io/,1132.01,https://illinois-cs415.github.io/resources,"textbooks, syllabusLink","textbooks: The URL and display text suggest that the link leads to a resources page for CS 415, which is likely to include information about textbooks for the course.; syllabusLink: The URL and display text suggest that the link leads to a resources page for CS 415, which is likely to include the syllabus or a link to it.",34.85
https://illinois-cs415.github.io/,1132.01,https://i-share-uiu.primo.exlibrisgroup.com/permalink/01CARLI_UIU/gpjosq/alma99945011412205899,textbooks,"textbooks: The display text indicates that the link is to an e-book titled 'Fundamentals of Computer Graphics 4th Edition', which is likely a textbook. Given that CS 415 is a course that could reasonably use such a textbook, the link might contain information about the course's textbooks.",33.08
https://uiucwp.gitlab.io/fa-24/,216.25,,,,
https://cs357.cs.illinois.edu/,1126.37,https://cs357.cs.illinois.edu/pages/syllabus.html,"schedule, prerequisites, textbooks, gradingComponents","schedule: The URL points to a syllabus page for CS 357, which typically includes the course schedule.; prerequisites: The URL points to a syllabus page for CS 357, which typically includes information about course prerequisites.; textbooks: The URL points to a syllabus page for CS 357, which typically includes information about required textbooks for the course.; gradingComponents: The URL points to a syllabus page for CS 357, which typically includes grading components as part of the course information.",56.37
https://cs357.cs.illinois.edu/,1126.37,https://cs357.cs.illinois.edu/pages/syllabus.html#grading_policies,gradingComponents,"gradingComponents: The URL points to a specific section of the syllabus for CS 357 that is dedicated to grading policies, which is likely to contain information about grading components.",62.75
https://cs357.cs.illinois.edu/,1126.37,https://cs357.cs.illinois.edu/pages/syllabus.html#lectures,schedule,"schedule: The URL points to the syllabus page of CS 357, and the display text 'Pre-Lectures' suggests that it might contain information about the course schedule, including pre-lecture sessions.",62.91
https://cs357.cs.illinois.edu/,1126.37,https://cs357.cs.illinois.edu/pages/syllabus.html#ga,schedule,"schedule: The display text 'Class Time' and the URL, which includes 'syllabus.html', suggest that the link likely contains information about the course schedule, including class times for CS 357.",62.52
https://cs357.cs.illinois.edu/,1126.37,https://cs357.cs.illinois.edu/pages/syllabus.html#homework,gradingComponents,"gradingComponents: The URL points to the syllabus page of CS 357 and specifically to the homework section, which is likely to contain information about grading components.",62.82
https://cs357.cs.illinois.edu/,1126.37,https://cs357.cs.illinois.edu/pages/syllabus.html#quizzes_quizzes,gradingComponents,"gradingComponents: The URL points to a specific section of the syllabus for CS 357 that deals with quizzes, which is likely a component of the course grading. The display text also suggests that it covers quizzes and the final exam, which are common elements in grading policies.",62.60
https://cs357.cs.illinois.edu/,1126.37,https://cs357.cs.illinois.edu/pages/syllabus.html#resources,textbooks,"textbooks: The URL points to the 'resources' section of the syllabus for CS 357, which is likely to include information about textbooks and other course materials.",62.71
https://cs357.cs.illinois.edu/,1126.37,https://cs357.cs.illinois.edu/pages/syllabus.html#conflict,schedule,"schedule: The URL points to the syllabus page of CS 357, and the display text 'Time Conflict Overrides' suggests that it contains information about schedule conflicts, which is relevant to the course schedule.",62.63
https://cs357.cs.illinois.edu/,1126.37,https://cs357.cs.illinois.edu/pages/schedule.html,schedule,"schedule: The URL and display text both indicate that the link is to a schedule page for CS 357, which suggests it contains information about the course's schedule.",56.50
